Node,x,y,ward,distance_from_0(in m),fill_ratio,fill_p_m,fill_ratio_0,distance_from_0,fill_per_m_0,fill_ratio_1,distance_from_52,fill_per_m_1,fill_ratio_2,distance_from_39,fill_per_m_2,fill_ratio_3,distance_from_54,fill_per_m_3
Node 35,76.749521,30.678734,1,0.075205546900787,0.9656320330745594,256.79808813795205,0.9656320330745594,0.075205546900787,12.839904406897602,0.9676773796465035,0.0345531000858587,28.00551548897165,0.9706453689857386,0.0830332989023009,11.689832655304045,0.0,0.0483601827243604,0.0
Node 12,76.704868,30.678243,1,0.1176093566752751,0.9699098521619943,164.93753211149016,0.9699098521619943,0.1176093566752751,8.246876605574508,0.9711263659884232,0.0398107824280367,24.393551363725734,0.97182048501119,0.0399750376950593,24.31068339258381,0.0,0.0296377360110517,0.0
Node 56,76.745632,30.674951,1,0.0808275626559206,0.9218742350231168,228.10887888516322,0.9218742350231168,0.0808275626559206,11.405443944258163,0.9255000139585542,0.0311842199681889,29.678472474304602,0.9292693996649354,0.0799559443266654,11.622267831248951,0.0,0.0452828281487249,0.0
Node 8,76.71562,30.689038,1,0.1070952370944553,0.8661761457749352,161.75810788130374,0.8661761457749352,0.1070952370944553,8.087905394065187,0.8752432775381098,0.0315643809610661,27.728827586313233,0.8774292869372986,0.0426145547281313,20.589896868219018,0.0,0.0154236162958292,0.0
Node 68,76.711614,30.681363,1,0.1102867729071255,0.8021969807540397,145.47474000886479,0.8021969807540397,0.1102867729071255,7.273737000443238,0.8175067639009355,0.0324881986598871,25.16319148559948,0.8175067639009355,0.0448024142891878,18.246935502719662,0.0,0.0236783029010812,0.0
Node 77,76.703579,30.658131,1,0.1173705765201099,0.7712703466859457,131.42482035159787,0.7712703466859457,0.1173705765201099,6.571241017579894,0.7712703466859457,0.050910504767348,15.14953250238855,0.7812570079117264,0.0595644120721964,13.116170893532637,0.7812570079117264,0.0540827040119917,14.445598129459265
Node 87,76.736808,30.682685,1,0.0820759260677643,0.7296061783380641,177.7881074983375,0.7296061783380641,0.0820759260677643,8.889405374916876,0.730064432725838,0.0254569648102546,28.678376945854623,0.7376900063079481,0.0715598845511659,10.308708726052986,0.0,0.0368867683732254,0.0
Node 4,76.725736,30.665169,1,0.1086001827804267,0.5986584841970366,110.24999569428614,0.5986584841970366,0.1086001827804267,5.512499784714307,0.6194463905288635,0.0474094258550109,13.065890998622832,0.6194463905288635,0.0811131836910908,7.636815155572563,0.6403334051373333,0.0564980331887311,11.333729140593373
Node 18,76.698727,30.717564,1,0.1297843788242196,0.5247564316322378,80.86588484473464,0.5247564316322378,0.1297843788242196,4.0432942422367315,0.5710543960085711,0.0657970423205618,8.679028355505801,0.6045278312107073,0.032870850699972,18.39100048637385,0.6290982184385133,0.0251139873863093,25.049714677385776
Node 29,76.733676,30.673732,1,0.0932214445152221,0.5924145688620425,127.09834565271241,0.5924145688620425,0.0932214445152221,6.35491728263562,0.6075661209405742,0.0381563337770134,15.923073859538139,0.6075661209405742,0.0846507378166486,7.177328120359061,0.6196050740360876,0.0522549419575494,11.857348813810551
Node 49,76.683981,30.717491,1,0.1449849491022236,0.5467102793432796,75.41614253460395,0.5467102793432796,0.1449849491022236,3.7708071267301975,0.560299929082558,0.0721477645473339,7.766005400139081,0.5821767599098475,0.0321535374308423,18.106149631654905,0.6127906290427084,0.0370333689667763,16.546985762825425
Node 97,76.7203,30.706517,1,0.1025437091415335,0.5227328293819941,101.9531736774812,0.5227328293819941,0.1025437091415335,5.09765868387406,0.5227328293819941,0.0437230482447515,11.95554405209483,0.5509455381122697,0.0489009037086015,11.266571705818194,0.5540149690706189,0.0118366178940601,46.80517475761695
Node 90,76.683771,30.698843,1,0.150190534241492,0.4722149251619493,62.88211538054361,0.4722149251619493,0.150190534241492,3.1441057690271803,0.5196396127604327,0.0742765293702165,6.996013642080569,0.5355666674843215,0.0059281937144872,90.34230210384564,0.5488382365827902,0.0443753700188753,12.36808248245229
Node 1,76.70214,30.667839,1,0.1211656660261201,0.3745401188473625,61.822813529803334,0.3745401188473625,0.1211656660261201,3.0911406764901668,0.4233495145976686,0.0440202467242045,9.617154516421422,0.4233495145976686,0.0547500837592258,7.732399396125692,0.4628756693952655,0.045994940720336,10.06362139283314
Node 64,76.717724,30.714285,1,0.1094263752767568,0.3567533266935893,65.20426648352431,0.3567533266935893,0.1094263752767568,3.260213324176215,0.38235488475872204,0.0572341394744616,6.680538718142732,0.3867499414833537,0.0449072881833193,8.612186509783749,0.4446682563436782,0.0245365579515283,18.122682783058462
Node 47,76.74419,30.69002,1,0.0741823668184895,0.31171107608941095,84.039129366716,0.31171107608941095,0.0741823668184895,4.2019564683357995,0.36315684671935367,0.0324503298481982,11.191160410947807,0.4230700647788357,0.0750019999759608,5.640783777958396,0.42633466067235287,0.0403288837980203,10.571447075192326
Node 86,76.694964,30.691922,1,0.1255415313283946,0.32518332202674705,51.80489971499942,0.32518332202674705,0.1255415313283946,2.590244985749971,0.341824546599947,0.0496275264571189,6.887801407859879,0.3687710441995091,0.0224452917274773,16.429772830622795,0.4111567523850095,0.0205353776414688,20.021874423907665
