Node,x,y,ward,distance_from_0(in m),fill_ratio,fill_p_m,fill_ratio_0,distance_from_0,fill_per_m_0,fill_ratio_1,distance_from_2,fill_per_m_1,fill_ratio_2,distance_from_34,fill_per_m_2,fill_ratio_3,distance_from_5,fill_per_m_3
Node 70,76.810948,30.704606,2,0.0288504227711681,0.9868869366005173,684.1403638540581,0.9868869366005173,0.0288504227711681,34.207018192702904,0.987206881766762,0.0294745224928255,33.49356658812918,0.9880114957868424,0.0513624248365158,19.236075768066577,0.0,0.0248536022164792,0.0
Node 3,76.760852,30.696397,2,0.0562596996788315,0.7319939418114051,260.2196406984476,0.7319939418114051,0.0562596996788315,13.01098203492238,0.7492929903810073,0.0445883575926418,16.804677966085467,0.7537415241219245,0.0661700168150507,11.39098281066905,0.7767107535938074,0.0398674303422225,19.482338011918824
Node 9,76.81374,30.739357,2,0.0700120170168887,0.6011150117432088,171.71766715368432,0.6011150117432088,0.0700120170168887,8.585883357684217,0.6011150117432088,0.0353276385902103,17.015431422291122,0.6159542547214857,0.0424513695514987,14.509643887325188,0.6159542547214857,0.0660151964621997,9.330491882640706
Node 31,76.787075,30.701861,2,0.028272534946824,0.6075448519014384,429.77741687763796,0.6075448519014384,0.028272534946824,21.4888708438819,0.6075448519014384,0.0278406269490803,21.822240318532348,0.6075448519014384,0.0557702025137115,10.893717872946025,0.6085796373895613,0.019437012565737,31.310348508100873
Node 48,76.768514,30.711515,2,0.0517135821656277,0.5200680211778108,201.13401524270455,0.5200680211778108,0.0517135821656277,10.056700762135227,0.5208098336334703,0.0312765763059215,16.65175332937151,0.5371408041486849,0.0457999789483012,11.727970546777039,0.5746580104367134,0.0388927726133064,14.775444686093309
Node 40,76.775182,30.699007,2,0.0393547476464014,0.4401524937396013,223.68457177991786,0.4401524937396013,0.0393547476464014,11.184228588995891,0.4401524937396013,0.0343429498840496,12.816385756775883,0.4401524937396013,0.0610071753087939,7.214765992880765,0.4734147536778613,0.0229624783097923,20.616884087636766
Node 24,76.807699,30.730302,2,0.0610473347561339,0.3663618432936917,120.02549980509362,0.3663618432936917,0.0610473347561339,6.0012749902546805,0.3663618432936917,0.0243726856560723,15.031656685828342,0.4139398992256419,0.0278498574054482,14.86326817402892,0.4707827121982146,0.0570505142014449,8.252032760579242
Node 61,76.788462,30.734446,2,0.0658628343748095,0.388677289689482,118.02628701874971,0.388677289689482,0.0658628343748095,5.9013143509374855,0.44777109408073196,0.0235933291544878,18.97871602387064,0.44777109408073196,0.0129269073593504,34.638686704662305,0.44777109408073196,0.0618660138201205,7.237755698672552
Node 23,76.785765,30.711475,2,0.043116154490331,0.29214464853521815,135.51516919289867,0.29214464853521815,0.043116154490331,6.775758459644933,0.30414228331283966,0.0164454615540249,18.493994973245563,0.3664579582150077,0.0423983985075525,8.643202835827159,0.3664579582150077,0.038309549402621,9.565707869953073
Node 37,76.778949,30.731555,2,0.0627185033776552,0.3046137691733707,97.13681059612013,0.3046137691733707,0.0627185033776552,4.856840529806007,0.3313929349726096,0.0232187345218117,14.272652743468804,0.3382878697002758,0.0207464617658211,16.30581028797838,0.36573697935844857,0.0580076179350717,6.304981869240353
