Node,x,y,ward,distance_from_0(in m),fill_ratio,fill_p_m,fill_ratio_0,distance_from_0,fill_per_m_0,fill_ratio_1,distance_from_44,fill_per_m_1,fill_ratio_2,distance_from_63,fill_per_m_2
Node 70,76.810948,30.704606,2,0.0288504227711681,0.9868869366005173,684.1403638540581,0.9868869366005173,0.0288504227711681,34.207018192702904,0.987647222632492,0.0418004847413403,23.6276499840615,0.0,0.0296004991684417,0.0
Node 2,76.796025,30.717258,2,0.0493582281229653,0.9507143064099162,385.2303223046897,0.9507143064099162,0.0493582281229653,19.261516115234485,0.9518744091421318,0.0197372464684692,48.22731532804121,0.0,0.0132431516763161,0.0
Node 53,76.796979,30.710015,2,0.0368657884166476,0.9394989415641891,509.6860704272564,0.9394989415641891,0.0368657884166476,25.48430352136282,0.940371608958834,0.0239628796065789,39.24284661934617,0.0,0.0236558331033338,0.0
Node 81,76.804746,30.720577,2,0.0480784714484246,0.8631034258755935,359.039461893656,0.8631034258755935,0.0480784714484246,17.9519730946828,0.8699567357672213,0.0307297162416329,28.30995017743106,0.8778153077016094,0.0145112418973893,60.492087025269434
Node 93,76.808299,30.735438,2,0.0657610324162686,0.7607850486168974,231.37868146628642,0.7607850486168974,0.0657610324162686,11.568934073314322,0.7645349924487671,0.0337490387409935,22.653533877399582,0.0,0.0174937910795378,0.0
Node 9,76.81374,30.739357,2,0.0700120170168887,0.6011150117432088,171.71766715368432,0.6011150117432088,0.0700120170168887,8.585883357684217,0.6172886682283608,0.0459734988782857,13.42705435282673,0.6507198143901053,0.0297182512168299,21.896302364574964
Node 31,76.787075,30.701861,2,0.028272534946824,0.6075448519014384,429.77741687763796,0.6075448519014384,0.028272534946824,21.4888708438819,0.6196898700284532,0.029941414996929,20.696746299131583,0.6232480290487423,0.0356597494724552,17.477633417760277
Node 48,76.768514,30.711515,2,0.0517135821656277,0.5200680211778108,201.13401524270455,0.5200680211778108,0.0517135821656277,10.056700762135227,0.5200680211778108,0.0229365611400257,22.674193310969375,0.5302189064495155,0.0316195110595251,16.768725659652212
Node 40,76.775182,30.699007,2,0.0393547476464014,0.4401524937396013,223.68457177991786,0.4401524937396013,0.0393547476464014,11.184228588995891,0.4566577633087028,0.0353653454833262,12.912577470054819,0.4740455903749186,0.0421620724074244,11.243412937440025
Node 24,76.807699,30.730302,2,0.0610473347561339,0.3663618432936917,120.02549980509362,0.3663618432936917,0.0610473347561339,6.0012749902546805,0.4243581063610667,0.0308724509535183,13.745526942450475,0.4337129240975775,0.0146172032920626,29.67140262276377
Node 61,76.788462,30.734446,2,0.0658628343748095,0.388677289689482,118.02628701874971,0.388677289689482,0.0658628343748095,5.9013143509374855,0.42319220808944963,0.0198221126858126,21.349500671154168,0.42319220808944963,0.0106280907093163,39.81827213033576
Node 60,76.795366,30.753286,2,0.0898932857323494,0.32533033076326434,72.38145276654171,0.32533033076326434,0.0898932857323494,3.619072638327086,0.38576830109414245,0.0458593111716337,8.411995104993196,0.38576830109414245,0.0364083679933395,10.595594429410141
Node 17,76.81343,30.727917,2,0.0566087150375355,0.3042422429595377,107.48954211654656,0.3042422429595377,0.0566087150375355,5.374477105827328,0.3042422429595377,0.0371425357685892,8.191208183928847,0.35728411576989244,0.0208872881071335,17.105337655005176
Node 37,76.778949,30.731555,2,0.0627185033776552,0.3046137691733707,97.13681059612013,0.3046137691733707,0.0627185033776552,4.856840529806007,0.3502702354656747,0.0139543891479704,25.10107979299258,0.3502702354656747,0.0195453404429637,17.92090736346174
