id,Ward,x,y,fill_ratio_0,fill_ratio_0_0,distance_from_0_0_0,fill_per_m_0_0_0_0,distance_from_0_1_0,fill_per_m_0_0_1_0,distance_from_0_2_0,fill_per_m_0_0_2_0,fill_ratio_1,fill_ratio_1_1,distance_from_272_0_0,fill_per_m_1_272_0_0,distance_from_42_1_0,fill_per_m_1_42_1_0,distance_from_279_2_0,fill_per_m_1_279_2_0,fill_ratio_2,fill_ratio_2_2,distance_from_168_0_0,fill_per_m_2_168_0_0,distance_from_222_1_0,fill_per_m_2_222_1_0,distance_from_53_2_0,fill_per_m_2_53_2_0,fill_ratio_3,fill_ratio_3_3,distance_from_191_2_0,fill_per_m_3_191_2_0
136,1,76.699239,30.704057,0.9743948076661665,0.9743948076661665,1.0,97.43948076661665,1.0,97.43948076661665,1.0,97.43948076661665,0.9750560473893193,0.9750560473893193,0.5523857481326542,176.51723468346285,0.5121595362139201,190.3813125490756,0.16728965325792938,582.8549634722268,0.9771674339745421,0.9771674339745421,0.45040316593393115,216.95394435079993,0.42754310873536955,228.55413033434388,0.12023964002349918,812.6832663367657,0.0,0.9771674339745421,0.0731057011342875,0.0
198,1,76.705889,30.715948,0.9699143978146032,0.9699143978146032,1.0,96.99143978146031,1.0,96.99143978146031,1.0,96.99143978146031,0.97286288483348,0.97286288483348,0.4442581949765858,218.98591761143626,0.6571812473392933,148.03570381417242,0.22094508301404853,440.31886637260976,0.9738010040323121,0.9738010040323121,0.3408564814814815,285.6923828468311,0.483423797360579,201.43836719439935,0.1414830779054917,688.2809014678029,0.0,0.9761446410508405,0.12390245849297574,0.0
71,1,76.704309,30.698164,0.9929647961193003,0.9929647961193003,1.0,99.29647961193004,1.0,99.29647961193004,1.0,99.29647961193004,0.9935714865703353,0.9935714865703353,0.5275756193536527,188.32778660006824,0.4855501167564182,204.6279986930313,0.2341595920673715,424.31380999522275,0.9938291744419319,0.9938291744419319,0.4200235555222722,236.61272359026847,0.3959233968969344,251.01552023222374,0.18118009081811187,548.5311161697367,0.9942200828008702,0.9942200828008702,0.1327619190261902,748.8744438868335
185,1,76.695912,30.71134,0.8105533307818329,0.8105533307818329,1.0,81.0553330781833,1.0,81.0553330781833,1.0,81.0553330781833,0.8105533307818329,0.8105533307818329,0.4861240958519904,166.73794565999484,0.6052809624563302,133.91356759222586,0.20190793682035132,401.44698794234483,0.8284992981313649,0.8284992981313649,0.3905119814987945,212.15720320579268,0.4446193967426069,186.33899110141357,0.12843207203660875,645.0875431607196,0.0,0.8357917395774145,0.11217585986320917,0.0
142,1,76.70499,30.708699,0.6981617140197451,0.6981617140197451,1.0,69.81617140197451,1.0,69.81617140197451,1.0,69.81617140197451,0.7116663322125812,0.7116663322125812,0.4459968012042525,159.56758664882452,0.5863876456594491,121.36448260471863,0.21306264532344124,334.01741123237775,0.736812600755678,0.736812600755678,0.3421098611615123,215.3730963071608,0.4085722349905246,180.3383924932554,0.13278362431622381,554.8971904855986,0.7438838503009136,0.7438838503009136,0.11502224372673144,646.7304290013892
215,1,76.708931,30.698582,0.9997176732861306,0.9997176732861306,1.0,99.97176732861305,1.0,99.97176732861305,1.0,99.97176732861305,0.9997321845824744,0.9997321845824744,0.4722620397509681,211.69014242805758,0.5206207255585746,192.02696617770266,0.28309193213666806,353.1475365747387,0.9997478847211971,0.9997478847211971,0.3019618750133716,331.0841425517463,0.33435313750240686,299.00957179263804,0.19616610684409833,509.6435366970605,0.9997478847211971,0.9997478847211971,0.1773175584604523,563.8177591669096
216,1,76.69354,30.691212,0.9966368370739054,0.9966368370739054,1.0,99.66368370739053,1.0,99.66368370739053,1.0,99.66368370739053,0.9967702008723167,0.9967702008723167,0.4504747794885259,221.2710336423408,0.37791072020203914,263.7581173509505,0.1480474341903744,673.2775926332965,0.99703545048494,0.99703545048494,0.3881251992573561,256.88500834078303,0.21471035013033773,464.3630127190887,0.18307297038801268,544.6109539664869,0.9970767632831213,0.9970767632831213,0.1785095862323325,558.5564250792745
64,1,76.700787,30.725808,0.8911431136980711,0.8911431136980711,1.0,89.11431136980711,1.0,89.11431136980711,1.0,89.11431136980711,0.8929820881933966,0.8929820881933966,0.43617249517270973,204.73140743086185,0.6525028512065403,136.85489443336334,0.26464842647274694,337.422028196096,0.8995257437375486,0.8995257437375486,0.3488860533655529,257.82794555993644,0.48517937194412764,185.40065710813778,0.21305005702413082,422.21333160012483,0.9012506785936762,0.9012506785936762,0.18227961020336725,494.4330732264356
69,1,76.696064,30.715001,0.5277011090862999,0.5277011090862999,1.0,52.77011090862999,1.0,52.77011090862999,1.0,52.77011090862999,0.5740987422086268,0.5740987422086268,0.4900510266363925,117.15080899822212,0.6087550965599746,94.3070120402789,0.20856832442198295,275.2569182303491,0.5789215648239683,0.5789215648239683,0.3956944749627676,146.30519288358556,0.4494250347908884,128.8138221079146,0.13367635928611538,433.0769987420651,0.5789215648239683,0.5789215648239683,0.11952196098537562,484.3641788096194
173,1,76.714549,30.716228,0.9327284833540133,0.9327284833540133,1.0,93.27284833540132,1.0,93.27284833540132,1.0,93.27284833540132,0.9327284833540133,0.9327284833540133,0.48133893721517956,193.7778997789748,0.7205234225458608,129.45151457510678,0.2985565690074453,312.4126481138498,0.9374149591035007,0.9374149591035007,0.3766612398929177,248.87481371059084,0.5404726061456511,173.44356558394716,0.22869423649380466,409.898812263638,0.9374149591035007,0.9374149591035007,0.19917849090277448,470.64065745988785
